선수명,ID,season_2010,season_2011,season_2012,season_2013,season_2014,season_2015,season_2016,season_2017,season_2018,season_2019,season_2020
임형원,50900,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC
임훈,74823,SK,SK,SK,SK,SK,SK-LG,LG,LG,LG,소속팀없음,소속팀없음
장민석,71347,키움,키움,키움,키움,두산,두산,한화,한화,소속팀없음,소속팀없음,소속팀없음
장민익,60255,두산,두산,소속팀없음,소속팀없음,두산,두산,소속팀없음,두산,두산,소속팀없음,소속팀없음
장민재,79764,한화,한화,소속팀없음,소속팀없음,소속팀없음,한화,한화,한화,한화,한화,한화
장성우,78548,롯데,롯데,소속팀없음,소속팀없음,롯데,롯데-KT,소속팀없음,KT,KT,KT,KT
장성호,96610,한화,한화,한화,롯데,롯데,KT,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
장승현,63202,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,두산,두산
장시윤,63360,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,키움,소속팀없음,LG,소속팀없음,소속팀없음
장시환,77318,소속팀없음,키움,키움,키움,키움,KT,KT,롯데-KT,롯데,롯데,한화
장영석,79334,키움,키움,키움,소속팀없음,소속팀없음,키움,키움,키움,키움,키움,기아
장운호,63700,소속팀없음,소속팀없음,소속팀없음,한화,한화,한화,한화,소속팀없음,소속팀없음,한화,한화
장원삼,76355,삼성,삼성,삼성,삼성,삼성,삼성,삼성,삼성,삼성,LG,롯데
장원준,74513,롯데,롯데,소속팀없음,소속팀없음,롯데,두산,두산,두산,두산,두산,소속팀없음
장종덕,60340,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
장준원,64115,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG,LG,소속팀없음,소속팀없음,LG
장지수,69645,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,소속팀없음
장지훈,67443,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,삼성,삼성
장진용,74139,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음
장진혁,66706,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,한화
장태성,79642,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
장필준,77927,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,삼성,삼성,삼성,삼성
장현식,63950,소속팀없음,소속팀없음,소속팀없음,NC,소속팀없음,NC,NC,NC,NC,NC,NC-기아
저마노,61434,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,KT,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
전근표,70364,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
전민수,78361,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,KT,LG,LG
전민재,68205,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,두산,소속팀없음
전병두,73228,SK,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음
전병우,65586,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,키움
전사민,69969,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC,소속팀없음
전상현,66609,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,소속팀없음,기아,기아,기아
전용주,69047,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,소속팀없음
전용훈,64267,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음,소속팀없음
전우엽,78650,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
전유수,75340,소속팀없음,소속팀없음,SK,SK,SK,SK,SK,SK,SK,KT,KT
전인환,79339,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음,LG,소속팀없음,소속팀없음
전준우,78513,롯데,롯데,롯데,롯데,롯데,소속팀없음,롯데,롯데,롯데,롯데,롯데
전준호,94364,SK,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
전준호,67123,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음
전현태,75706,한화,한화,한화,한화,한화,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정경운,66716,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,소속팀없음,소속팀없음
정광운,64769,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정규창,62894,소속팀없음,소속팀없음,소속팀없음,SK,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정근우,75808,SK,SK,SK,SK,한화,한화,한화,한화,한화,한화,LG
정기훈,64209,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화
정대현,71801,SK,SK,롯데,롯데,롯데,롯데,롯데,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정대현,60264,두산,두산,두산,두산,두산,KT,KT,KT-키움,소속팀없음,소속팀없음,키움
정대훈,78760,소속팀없음,소속팀없음,한화,한화,한화,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정동윤,66858,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,SK,소속팀없음,소속팀없음
정동현,66659,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아,소속팀없음,소속팀없음,소속팀없음
정민혁,77746,소속팀없음,한화,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정범모,76720,소속팀없음,소속팀없음,한화,한화,한화,한화,한화,한화,NC,NC,소속팀없음
정범수,61304,소속팀없음,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정병곤,61104,소속팀없음,LG,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,두산,소속팀없음
정보근,68518,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데
정보명,73513,롯데,롯데,롯데,롯데,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정상교,61658,소속팀없음,기아,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정상호,71842,SK,SK,SK,SK,SK,SK,LG,LG,LG,LG,두산
정성곤,65058,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,KT,KT,KT,소속팀없음
정성종,68556,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,소속팀없음
정성훈,99606,LG,LG,LG,LG,LG,LG,LG,LG,기아,소속팀없음,소속팀없음
정수민,66960,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC,NC,NC,NC,소속팀없음
정수빈,79231,두산,두산,두산,두산,두산,두산,두산,소속팀없음,두산,두산,두산
정수성,97350,키움,소속팀없음,키움,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정영일,62056,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,SK,SK,SK,SK
정용운,79617,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아,기아,소속팀없음,LG
정용준,65368,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정우람,74857,SK,SK,SK,소속팀없음,소속팀없음,SK,한화,한화,한화,한화,한화
정우영,69159,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG
정원석,70240,한화,한화,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정은원,68743,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,한화,한화
정의윤,75151,소속팀없음,LG,LG,LG,LG,LG-SK,SK,SK,SK,SK,SK
정인욱,79440,삼성,삼성,삼성,소속팀없음,소속팀없음,삼성,삼성,삼성,삼성,삼성,소속팀없음
정재복,73166,LG,소속팀없음,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정재원,74748,한화,한화,한화,한화,한화,한화,한화,한화,한화-SK,SK,소속팀없음
정재원,50394,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정재훈,73241,두산,두산,두산,두산,두산,롯데,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정주현,79150,LG,LG,LG,LG,소속팀없음,소속팀없음,LG,LG,LG,LG,LG
정주후,65096,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT,소속팀없음,소속팀없음,소속팀없음
정준혁,63558,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,소속팀없음
정진,62941,소속팀없음,소속팀없음,소속팀없음,NC,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정진기,61869,소속팀없음,SK,SK,SK,소속팀없음,소속팀없음,소속팀없음,SK,SK,SK,SK
정진수,50414,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정진식,94724,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정진용,70249,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정진원,71757,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정진철,65293,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정진호,61208,소속팀없음,두산,두산,소속팀없음,소속팀없음,두산,두산,두산,두산,두산,한화
정찬헌,78148,소속팀없음,소속팀없음,소속팀없음,LG,LG,LG,LG,LG,LG,LG,LG
정태승,62595,소속팀없음,소속팀없음,소속팀없음,롯데,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,롯데,롯데
정해영,50662,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아
정현,63450,소속팀없음,소속팀없음,소속팀없음,삼성,삼성,소속팀없음,소속팀없음,KT,KT,KT-SK,SK
정현민,69305,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정현발,95101,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정현석,78745,한화,소속팀없음,소속팀없음,한화,한화,한화,한화,한화,소속팀없음,소속팀없음,소속팀없음
정현욱,96462,삼성,삼성,삼성,LG,LG,소속팀없음,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정현택,98129,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정현희,99317,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
정형식,79459,삼성,삼성,삼성,삼성,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
