,경기날짜,선수명,포지션,팀,더블헤더여부,홈팀,원정팀,1,2,3,4,5,6,7,8,9,10,11,12,안타,타수,타율,타점,득점
123,2018-04-07,하주석,유,한화,0,KT,한화,0,2000,0,0,7102,0,7100,0,0,0.0,0.0,0.0,0,3,0.238,0,1
124,2018-04-07,정경운,유,한화,0,KT,한화,0,0,0,0,0,0,0,0,2000,0.0,0.0,0.0,0,1,0.0,0,0
125,2018-04-07,오선진,三,한화,0,KT,한화,0,2000,0,0,7104,0,1110,0,1011,0.0,0.0,0.0,2,4,0.174,1,0
126,2018-04-07,최진행,지,한화,0,KT,한화,0,7102,0,0,1019,0,7107,0,2000,0.0,0.0,0.0,1,4,0.143,0,0
127,2018-04-07,지성준,포,한화,0,KT,한화,0,0,7006,0,2000,0,0,2000,7003,0.0,0.0,0.0,0,4,0.154,0,0
128,2018-04-08,이용규,중,한화,0,KT,한화,1017,0,0,1017,0,7101,1012,7006,0,3000.0,0.0,0.0,3,5,0.347,0,3
129,2018-04-08,정근우,二,한화,0,KT,한화,7104,0,0,1011,0,7104,3000,0,7101,3000.0,0.0,0.0,1,4,0.238,1,2
130,2018-04-08,송광민,一,한화,0,KT,한화,2000,0,0,2000,0,1019,1017,0,2000,1116.0,0.0,0.0,3,6,0.417,3,1
131,2018-04-08,호잉,우,한화,0,KT,한화,0,7104,0,7006,0,3000,3000,0,2000,2000.0,0.0,0.0,0,4,0.385,0,1
132,2018-04-08,이성열,지,한화,0,KT,한화,0,2000,0,1303,0,3000,1004,0,0,1018.0,0.0,0.0,3,4,0.75,5,2
133,2018-04-08,하주석,유,한화,0,KT,한화,0,1023,0,7101,0,7101,2000,0,0,7006.0,0.0,0.0,1,5,0.234,0,0
134,2018-04-08,최재훈,포,한화,0,KT,한화,0,0,2000,0,7107,0,6002,1019,0,0.0,0.0,0.0,1,4,0.148,0,1
135,2018-04-08,정은원,주,한화,0,KT,한화,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
136,2018-04-08,지성준,포,한화,0,KT,한화,0,0,0,0,0,0,0,0,0,1116.0,0.0,0.0,1,1,0.214,0,1
137,2018-04-08,오선진,三,한화,0,KT,한화,0,0,2000,0,7104,0,0,0,0,0.0,0.0,0.0,0,2,0.16,0,0
138,2018-04-08,최진행,타좌,한화,0,KT,한화,0,0,0,0,0,0,2000,1017,0,0.0,0.0,0.0,1,2,0.174,0,0
139,2018-04-08,양성우,타좌,한화,0,KT,한화,0,0,0,0,0,0,0,0,0,3200.0,0.0,0.0,0,0,0.303,0,1
140,2018-04-08,장진혁,좌,한화,0,KT,한화,0,0,7006,0,2000,0,0,0,0,0.0,0.0,0.0,0,2,0.25,0,0
141,2018-04-08,백창수,타,한화,0,KT,한화,0,0,0,0,0,0,2000,0,0,0.0,0.0,0.0,0,1,0.136,0,0
142,2018-04-08,정경운,三,한화,0,KT,한화,0,0,0,0,0,0,0,7209,0,5002.0,0.0,0.0,0,1,0.0,1,0
143,2018-04-10,이명기,우,기아,0,한화,기아,3000,0,7107,0,7107,0,2000,0,0,0.0,0.0,0.0,0,3,0.241,0,0
144,2018-04-10,최원준,우,기아,0,한화,기아,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.364,0,0
145,2018-04-10,버나디나,중,기아,0,한화,기아,7005,0,7212,0,7100,0,0,7100,0,0.0,0.0,0.0,0,4,0.296,0,0
146,2018-04-10,김주찬,지,기아,0,한화,기아,7212,0,0,7004,7301,0,0,7400,0,0.0,0.0,0.0,0,4,0.37,0,0
147,2018-04-10,최형우,좌,기아,0,한화,기아,0,1201,0,7405,0,7006,0,7001,0,0.0,0.0,0.0,1,4,0.396,0,1
148,2018-04-10,안치홍,二,기아,0,한화,기아,0,7101,0,1019,0,7001,0,0,2000,0.0,0.0,0.0,1,4,0.358,1,1
149,2018-04-10,서동욱,一,기아,0,한화,기아,0,7005,0,1117,0,1011,0,0,0,0.0,0.0,0.0,2,3,0.231,0,1
150,2018-04-10,나지완,타,기아,0,한화,기아,0,0,0,0,0,0,0,0,2000,0.0,0.0,0.0,0,1,0.262,0,0
151,2018-04-10,정성훈,三,기아,0,한화,기아,0,7104,0,1013,0,7107,0,0,2000,0.0,0.0,0.0,1,4,0.278,1,0
152,2018-04-10,김민식,포,기아,0,한화,기아,0,0,1019,1018,0,0,7101,0,0,0.0,0.0,0.0,2,3,0.371,1,0
153,2018-04-10,김선빈,유,기아,0,한화,기아,0,0,1011,7005,0,0,7104,0,0,0.0,0.0,0.0,1,3,0.265,0,0
154,2018-04-11,이명기,우,기아,0,한화,기아,1019,7101,0,0,2000,0,2000,0,0,0.0,0.0,0.0,1,4,0.242,0,0
155,2018-04-11,서동욱,타,기아,0,한화,기아,0,0,0,0,0,0,0,0,7101,0.0,0.0,0.0,0,1,0.214,0,0
156,2018-04-11,버나디나,중,기아,0,한화,기아,1011,0,2000,0,3000,0,7107,0,0,0.0,0.0,0.0,1,3,0.298,0,1
157,2018-04-11,김주찬,一,기아,0,한화,기아,7304,0,7005,0,3000,0,2000,0,0,0.0,0.0,0.0,0,3,0.347,0,1
158,2018-04-11,최형우,좌,기아,0,한화,기아,2000,0,7100,0,1301,0,0,7102,0,0.0,0.0,0.0,1,4,0.386,3,1
159,2018-04-11,나지완,지,기아,0,한화,기아,2000,0,0,1019,3000,0,0,7102,0,0.0,0.0,0.0,1,3,0.267,0,1
160,2018-04-11,안치홍,二,기아,0,한화,기아,0,1017,0,1019,7206,0,0,7102,0,0.0,0.0,0.0,2,4,0.368,0,0
161,2018-04-11,최원준,三,기아,0,한화,기아,0,1017,0,2000,0,7101,0,0,0,0.0,0.0,0.0,1,3,0.36,0,0
162,2018-04-11,정성훈,타,기아,0,한화,기아,0,0,0,0,0,0,0,0,6004,0.0,0.0,0.0,0,1,0.263,0,0
163,2018-04-11,김민식,포,기아,0,한화,기아,0,4104,0,7100,0,7100,0,0,0,0.0,0.0,0.0,0,2,0.351,1,0
164,2018-04-11,백용환,타,기아,0,한화,기아,0,0,0,0,0,0,0,0,2000,0.0,0.0,0.0,0,1,0.455,0,0
165,2018-04-11,김선빈,유,기아,0,한화,기아,0,2000,0,7102,0,7107,0,0,2000,0.0,0.0,0.0,0,4,0.237,0,0
166,2018-04-12,이명기,우,기아,0,한화,기아,2000,0,2000,0,0,1019,7003,0,0,0.0,0.0,0.0,1,4,0.242,0,0
167,2018-04-12,문경찬,투,기아,0,한화,기아,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
168,2018-04-12,유승철,투,기아,0,한화,기아,0,0,0,0,0,0,0,0,2000,0.0,0.0,0.0,0,1,0.0,0,0
169,2018-04-12,버나디나,중,기아,0,한화,기아,1017,0,2000,0,0,7100,0,0,0,0.0,0.0,0.0,1,3,0.3,0,0
170,2018-04-12,이영욱,중,기아,0,한화,기아,0,0,0,0,0,0,0,7104,0,0.0,0.0,0.0,0,1,0.0,0,0
171,2018-04-12,김주찬,一,기아,0,한화,기아,7003,0,7006,0,0,7104,0,0,0,0.0,0.0,0.0,0,3,0.327,0,0
172,2018-04-12,서동욱,一,기아,0,한화,기아,0,0,0,0,0,0,0,3000,0,0.0,0.0,0.0,0,0,0.214,0,1
173,2018-04-12,최형우,좌,기아,0,한화,기아,3000,0,0,2000,0,7004,0,0,0,0.0,0.0,0.0,0,2,0.373,0,0
174,2018-04-12,황윤호,유,기아,0,한화,기아,0,0,0,0,0,0,0,7005,0,0.0,0.0,0.0,0,1,0.333,0,0
175,2018-04-12,나지완,지좌,기아,0,한화,기아,7006,0,0,2000,0,0,2000,1303,0,0.0,0.0,0.0,1,4,0.265,2,1
176,2018-04-12,안치홍,二,기아,0,한화,기아,0,1303,0,7003,0,0,1019,0,0,0.0,0.0,0.0,2,3,0.383,1,2
177,2018-04-12,정성훈,三,기아,0,한화,기아,0,0,0,0,0,0,0,1017,0,0.0,0.0,0.0,1,1,0.3,0,0
178,2018-04-12,최원준,三二,기아,0,한화,기아,0,7107,0,0,7107,0,3000,2000,0,0.0,0.0,0.0,0,3,0.321,0,0
179,2018-04-12,김민식,포,기아,0,한화,기아,0,2000,0,0,2000,0,0,0,0,0.0,0.0,0.0,0,2,0.333,0,0
180,2018-04-12,백용환,포,기아,0,한화,기아,0,0,0,0,0,0,1019,0,7104,0.0,0.0,0.0,1,2,0.462,1,0
181,2018-04-12,김선빈,유,기아,0,한화,기아,0,7102,0,0,2000,0,0,0,0,0.0,0.0,0.0,0,2,0.225,0,0
182,2018-04-12,오준혁,좌우,기아,0,한화,기아,0,0,0,0,0,0,7005,0,7006,0.0,0.0,0.0,0,2,0.0,0,0
183,2018-04-13,김헌곤,우좌,삼성,0,한화,삼성,2000,5002,0,7006,0,7101,0,0,6004,0.0,0.0,0.0,0,4,0.323,1,1
184,2018-04-13,김상수,유,삼성,0,한화,삼성,1019,1019,0,1025,0,2000,0,0,7107,0.0,0.0,0.0,3,5,0.217,1,0
185,2018-04-13,이원석,三,삼성,0,한화,삼성,1116,2000,0,2000,0,0,2000,0,1017,0.0,0.0,0.0,2,5,0.314,0,0
186,2018-04-13,러프,一,삼성,0,한화,삼성,7000,3000,0,1008,0,0,3000,0,1012,0.0,0.0,0.0,2,3,0.381,1,0
187,2018-04-13,강민호,포,삼성,0,한화,삼성,7104,7406,0,7102,0,0,7006,0,2000,0.0,0.0,0.0,0,5,0.237,0,0
188,2018-04-13,배영섭,좌,삼성,0,한화,삼성,0,1012,2000,0,7302,0,7104,0,0,0.0,0.0,0.0,1,4,0.347,0,1
